# Pos,Name,Age,Rookie Year,Pot,FIQ,Dur,Stat1,Stat2,Stat3,Contract Money, Contract Years
#AMNOR
Baltimore Ruckus,BAL
DL,Fry Decker,29,2008,81,88,96,87,75,85,11,5
DL,Alvin Ford,30,2009,65,71,79,72,62,70,0.9,1
DL,Adil Benton,35,2003,65,93,88,85,78,74,1.5,1
DL,Jake Jennings,26,2012,65,63,78,74,63,66,0.6,4
DL,John Davidson,23,2015,78,51,84,89,79,64,0.6,4
LB,Frederick Coleman,28,2010,58,90,92,79,87,87,1.6,1
LB,Calvin Shields,24,2014,87,61,89,84,86,62,1.9,4
LB,Nolan Leon,27,2011,70,74,81,77,57,76,3.3,3
LB,Josh Huff,23,2015,78,59,88,81,65,70,0.7,4
LB,Ibraheem Villanueva,24,2014,102,75,85,85,93,76,3.2,4
LB,Jamal Collier,23,2014,83,69,95,79,65,72,0.5,1
END_PLAYERS
Indianapolis Unicorns,IND
QB,Nora Walsh,22,2016,88,72,86,81,92,87,10.6,4
QB,Sana Valdez,26,2013,72,78,68,74,78,82,4.5,2
RB,Milly Garrison,24,2015,75,76,78,81,76,90,5.3,2
RB,Claudia Herman,19,2016,99,64,58,79,81,68,2.3,3
RB,Penny Hanna,28,2011,64,73,81,67,59,75,1.5,2
WR,Evangeline O'Niell,26,2013,81,67,71,81,69,80,4.3,2
WR,Hattie Beasley,27,2012,67,55,72,73,68,71,2.1,2
WR,Chick Lewis,25,2014,78,81,63,58,81,79,1.5,3
WR,Ellie-Mae Harding,23,2016,92,54,73,89,74,84,2,2
WR,Jasmine Webb,27,2012,88,71,70,65,75,69,1.4,4
WR,Rachael Hendrix,22,2016,65,75,85,95,58,73,1,3
OL,Carmen Sheppard,25,2014,74,75,84,72,83,70,2.3,3
OL,Alana Velasquez,27,2012,65,72,73,69,72,80,1.6,2
OL,Ava Sweeny,23,2016,78,53,69,69,74,81,1.5,2
OL,Agnes Sullivan,29,2010,68,72,78,59,67,73,0.9,2
OL,Kandy Moss,28,2011,79,65,71,74,69,80,1.3,3
OL,Chantelle Summers,24,2015,92,78,63,91,78,76,1.8,3
OL,Elsie Gonzalez,23,2016,67,82,71,78,64,70,1.4,2
OL,Ellia Trujillo,22,2016,70,78,67,80,73,66,1.5,2
OL,Tiana Holman,27,2012,84,87,71,58,70,76,1.7,1
OL,Taylor Mejia,25,2014,66,79,84,68,73,78,1,2
K,Roxanne Rivers,29,2010,59,68,90,71,75,80,3.4,3
K,Lydia Juarez,24,2015,77,94,75,88,69,72,1.3,2
S,Fatima Sykes,26,2013,69,73,54,65,79,81,2.5,3
S,Priya Garza,30,2009,45,76,79,65,89,74,1.9,2
CB,Meghan Neal,25,2013,89,74,68,78,80,84,2,2
CB,Leah Diaz,23,2016,73,65,68,79,81,68,1.6,2
CB,Stephanie Phelps,28,2011,81,75,67,80,74,70,1.8,2
CB,Tia Bates,27,2012,74,83,76,59,71,76,1.9,3
CB,Sarah Vazquez,22,2016,83,64,90,91,83,75,2.5,3
CB,Hannah Black,29,2010,55,65,78,81,68,74,2,3
DL,Lena Dunlap,24,2015,67,72,83,72,68,70,2.3,2
DL,Cai Rhodes,27,2012,56,78,90,76,83,81,2.5,3
DL,Traci Skinner,29,2010,65,78,81,92,87,72,2.7,2
DL,Annabelle Tapia,25,2014,78,78,80,81,69,74,2.3,2
DL,Amira Walker,23,2016,81,76,59,67,71,75,1.4,2
DL,Annie Nelson,26,2013,67,82,78,79,65,73,1.5,2
DL,Georgina Lyons,30,2009,59,73,82,58,73,81,2,1
LB,Sapphire Wong,24,2015,76,82,99,93,82,81,4.5,3
LB,Eden Becker,23,2016,68,76,78,82,75,71,1.8,3
LB,Carrie Meadows,29,2010,55,79,68,80,77,56,2.1,2
LB,Lexi Hoffman,27,2012,83,64,79,69,73,80,1.7,2
LB,Regina OConnell,25,2014,79,76,77,76,90,75,1.5,3
LB,Lacey Lang,26,2013,64,77,87,89,75,92,2.9,2
LB,Yasmin Carroll,22,2016,78,64,88,63,58,72,1,2
END_PLAYERS
Jacksonville Jackers,JAX
QB,MAxwell Bruce,28,2009,97,76,84,99,85,39,17.7,3
QB,Ray Bryant,30,2009,57,73,86,84,74,40,2,1
RB,Dion Dennis,23,2015,64,44,84,78,90,64,0.5,3
RB,Marco Mann,25,2013,71,66,78,85,92,63,0.6,4
RB,Todd Shannon,24,2013,81,72,75,91,92,74,0.7,4
RB,Aidan Watts,24,2012,85,74,78,52,90,77,2,1
WR,Harmony Bird,31,2006,64,80,86,78,83,65,6.7,2
WR,Tyler Weeks,24,2015,73,44,90,74,85,59,0.6,4
WR,Sean Haas,23,2015,88,59,77,82,96,82,2,4
WR,Jax Fox,24,2013,86,83,94,103,85,65,1.9,4
WR,Barnaby Vazquez,29,2010,79,89,92,91,84,73,7.3,5
OL,Verity Valdez,22,2015,78,42,91,86,87,66,0.7,4
OL,Justin Chavez,31,2007,71,85,92,90,72,87,1.5,1
OL,Louis Friedman,30,2009,82,86,80,87,82,80,6.4,4
OL,Michael Parker,24,2015,64,63,92,76,75,78,0.5,1
OL,Haroon Gregory,23,2015,93,58,93,84,82,85,2.4,4
OL,Ralph Mays,25,2013,67,65,92,86,76,75,0.6,1
OL,Saul Coffey,28,2010,83,73,89,92,81,68,0.5,1
OL,Anthony Livingston,26,2012,85,83,79,91,92,85,1.9,4
OL,Calum Nelson,31,2007,95,92,98,94,90,96,11.5,7
OL,Bilal Pruitt,30,2009,57,82,87,88,78,86,3.2,3
K,Kevin Small,30,2008,56,80,83,96,93,58,2.5,4
K,Juan Gay,23,2015,63,65,85,80,80,70,0.5,3
S,Wesley Hughes,23,2014,78,66,92,78,93,78,0.6,1
S,Leroy Brandt,24,2014,63,62,82,65,86,86,0.5,2
CB,Carlos Shaw,32,2006,84,92,86,87,88,40,6.8,2
CB,Muhammad Hartman,23,2015,88,49,90,83,91,42,0.8,4
CB,Brendan Clark,26,2013,86,69,97,77,93,72,0.8,4
CB,Marvin Kirk,26,2013,86,67,85,78,91,57,0.7,4
CB,Rob Mason,30,2008,86,91,87,100,92,67,9.5,6
CB,Jared Monroe,27,2012,80,60,81,85,88,64,0.8,1
DL,Arran May,29,2010,83,87,94,96,82,95,6.3,4
DL,Thomas Duffy,28,2010,65,73,88,76,89,35,0.7,1
DL,Samuel Cross,29,2010,59,73,88,84,79,75,1.1,2
DL,Roosevelt Baxter,31,2008,56,78,90,74,84,67,1.3,1
DL,Hamzah Daniels,20,2016,90,65,85,90,89,86,2.3,4
DL,Phillip McIntosh,28,2011,79,69,88,92,81,85,0.8,1
DL,Kyle Atkinson,28,2011,60,79,90,88,79,88,4.3,4
LB,Solomon Middelton,28,2011,60,79,90,88,79,88,4.3,4
LB,Conner Moses,27,2012,75,66,88,74,70,61,0.8,1
LB,Haris Vega,25,2013,61,62,92,78,64,65,0.8,1
LB,Philip Stevenson,28,2010,89,81,85,76,87,77,1.5,1
LB,Jeremiah Rhodes,33,2005,83,89,79,102,92,100,9,2
LB,Ajay Lowe,29,2009,82,87,98,78,64,97,2.8,3
LB,Dexter Arias,24,2014,77,56,92,84,68,70,0.6,1
LB,Isaiah Acevedo,25,2015,88,47,90,73,82,69,1,4
END_PLAYERS
Tennessee Titties,TEN
QB,Aleena Farrell,26,2013,90,78,65,86,78,85,7.4,4
QB,Demi Burch,27,2012,92,80,80,75,82,81,8.5,4
RB,Daniella Bernard,23,2016,78,80,73,88,57,75,4,3
RB,Girl Girly,25,2014,94,83,95,90,87,79,3.5,2
RB,Zara Key,24,2015,85,67,74,80,75,58,2,2
RB,Tonya Fernandez,28,2011,56,76,70,75,78,72,1,1
WR,Esme Carson,24,2014,81,75,88,94,73,65,2.3,2
WR,Tamara Collins,28,2011,55,67,90,66,73,75,1.8,2
WR,Kimberly Montoya,25,2014,67,77,80,74,68,90,1.8,3
WR,Kara Flynn,29,2010,56,78,67,81,76,58,1.4,2
WR,Marnie Olsen,22,2016,67,89,78,84,78,73,1.6,4
OL,Annie Long,25,2014,77,54,68,78,93,69,2.1,2
OL,Sofi Pope,30,2009,54,65,78,85,78,90,1.4,2
OL,Katy Holland,25,2014,87,56,87,68,79,86,1.6,3
OL,Ingrid Duran,27,2012,84,79,67,78,64,80,1,2
OL,Jacqueline Diaz,23,2015,79,55,90,91,81,77,1.3,3
OL,Fatima Chase,28,2011,82,76,70,78,65,83,0.6,2
OL,Maxine Williamson,33,2004,83,90,90,88,91,84,4.3,5
OL,Ruth Burch,24,2013,78,57,81,78,94,67,2,2
OL,Robin Stephens,26,2013,75,78,93,67,80,74,1.3,3
OL,Amber Reed,22,2016,88,65,72,70,68,75,1,2
K,Sally Thomas,27,2012,67,73,89,84,76,79,2.6,2
K,Saffron Patrick,24,2015,76,54,89,69,75,74,1.4,2
S,Ruth Coleman,25,2014,55,78,69,85,90,74,1.7,2
S,Eden Sparks,28,2011,54,90,83,80,81,76,2,2
CB,Jean Franklin,25,2014,78,83,76,90,78,65,1.8,2
CB,Lisa Nielsen,28,2011,68,76,55,78,80,70,2,3
CB,Rashida Hatfield,23,2016,59,68,90,71,75,80,3.4,3
CB,Maia Joyce,28,2011,67,81,45,59,71,69,1.3,2
CB,April Sloan,23,2016,82,51,68,71,58,69,1,2
CB,Francis Lopez,30,2009,74,75,82,91,82,93,4.5,3
DL,Molly Leonard,22,2016,98,98,99,90,88,75,3.4,3
DL,Ida Faulkner,23,2015,79,55,90,91,81,77,1.3,3
DL,Maxine Riggs,27,2012,65,72,73,69,72,80,1.6,2
DL,Kimmy Daniel,24,2015,92,78,63,91,78,76,1.8,3
DL,Sandra Mills,28,2011,79,65,71,74,69,80,1.3,3
DL,Rosemary Sears,23,2015,59,71,64,80,73,78,1.8,2
DL,Anika Noble,24,2015,87,65,78,64,76,84,1.8,3
DL,Maria Wong,28,2011,54,67,52,64,59,79,0.6,4
LB,Alyssa Fitzgerald,28,2011,78,78,56,89,76,53,2,2
LB,Anita Pearson,25,2013,89,74,68,78,80,84,2,2
LB,Bertha Garrison,33,2005,42,100,64,88,87,89,2.1,3
LB,Crystal Castaneda,27,2012,57,67,77,53,70,71,0.6,3
LB,Rhea West,27,2011,81,78,53,69,78,81,72,3.3,2
LB,Rachel McCall,23,2016,76,82,99,93,82,81,4.5,3
LB,Annalise Snyder,27,2012,67,55,72,73,68,71,2.1,2
LB,Emmie Davenport,25,2014,55,78,69,85,90,74,1.7,2
END_PLAYERS
#AMWES
Denver Bros,DEN
QB,Omar Velazquez,27,2012,80,73,85,90,79,20,12.3,2
QB,Ronald Olson,27,2012,80,84,94,103,95,97,21.9,4
RB,Willard Rojas,28,2011,69,78,93,66,81,35,1.8,3
RB,David Wood,22,2015,63,47,86,82,90,60,0.5,3
RB,Zachary Phillips,25,2013,61,72,84,84,87,52,1.7,1
RB,Amir Robinson,25,2013,76,67,97,86,79,65,0.6,4
WR,Fred Deleon,27,2011,79,72,83,66,80,44,1.6,3
WR,Farhan Caldwell,27,2012,85,73,85,86,87,65,7.2,5
WR,Ruben Ryan,22,2015,88,58,88,80,89,76,1.4,4
WR,Kye Owen,26,2014,64,41,91,68,91,64,0.5,2
WR,Sam James,29,2008,66,85,90,86,87,85,8.5,5
WR,Courtland Davies,24,2014,62,55,95,57,86,83,0.5,3
OL,Caleb Skinner,32,2009,65,71,90,88,80,69,0.7,1
OL,Jesse Rivers,25,2011,99,84,87,88,96,94,12.2,8
OL,Patrick Franco,29,2009,58,86,90,90,87,84,6.7,4
OL,Bailey Chapman,27,2010,88,80,77,87,83,94,6.8,5
OL,Franklin Guerrero,28,2014,62,70,92,84,76,79,0.6,2
OL,Josiah Welch,24,2015,88,62,87,76,74,83,0.8,4
OL,Wilfred Mayo,30,2008,61,84,82,95,94,82,7,4
OL,Homer Edwards,24,2014,82,75,92,91,85,91,0.7,4
OL,Jeffrey Pitts,25,2014,72,48,93,92,77,74,0.6,4
K,Melvin Russo,31,2009,57,78,92,87,89,66,3.9,3
K,Xander Hewitt,29,2009,62,80,96,90,85,66,2.4,3
S,Eric Zuniga,26,2014,62,57,83,72,93,85,0.5,3
S,Xavier Walters,26,2012,71,65,88,72,88,83,0.7,2
CB,Frances Larsen,23,2015,95,64,89,87,89,64,2.5,4
CB,Garfield Foster,27,2011,75,79,89,85,89,41,6.3,4
CB,Rocco Klein,29,2009,68,74,90,74,93,36,0.8,1
CB,Ahmed Cain,27,2011,80,63,94,73,93,50,0.8,1
CB,Rhys Joseph,22,2015,88,56,87,72,92,39,1.1,4
CB,Daniel Pierce,31,2007,70,93,93,87,89,69,2.5,3
DL,Harmony Trevino,28,2012,80,75,91,85,71,85,3.2,4
DL,Al Lucas,31,2006,74,87,92,87,69,72,4.5,2
DL,Nikko Escobar,26,2013,71,55,74,89,82,88,0.6,4
DL,Carl Camacho,28,2010,78,87,85,99,93,82,10.7,5
DL,Osian Chang,24,2015,83,46,92,81,77,61,0.7,4
DL,Cleo Burgess,28,2010,65,71,95,81,82,79,0.8,1
DL,Jim Hudson,22,2016,95,65,85,90,88,85,2.6,4
DL,Aadam Hoover,28,2010,78,81,90,80,84,68,4,4
LB,Fatih Navarro,26,2012,85,84,90,95,88,87,1.9,4
LB,Ricky Watkins,32,2007,81,90,96,85,70,88,7.2,3
LB,Paul Lee,29,2009,87,88,94,81,82,87,8.8,6
LB,Imran Guzman,26,2013,86,73,89,82,84,75,0.8,4
LB,Harold Hilton,30,2009,57,80,92,87,83,82,4.1,5
LB,Mathew Luna,27,2010,88,82,87,76,93,85,6.8,4
LB,Calvin Houston,24,2014,62,53,94,83,62,67,0.5,2
END_PLAYERS
Kansas City Chicks,KC
QB,Violet Delgado,24,2015,89,88,77,90,78,83,6.7,3
QB,Millie Wyatt,26,2013,72,78,68,74,78,82,4.5,2
RB,Pippa Rocha,25,2014,87,65,72,85,76,91,3.3,2
RB,Elsa Comacho,25,2014,76,75,80,79,51,75,1.3,2
RB,Karly Moon,27,2012,88,74,53,87,59,73,1.8,2
RB,Esme Fox,23,2016,67,75,80,65,73,74,1.3,2
WR,Ava Massey,28,2011,64,73,81,67,59,75,1.5,2
WR,Khadija Watson,23,2016,67,82,71,78,64,70,1.4,2
WR,Salma Greer,24,2014,81,75,88,94,73,65,2.3,2
WR,Mitzi Higgins,28,2011,67,81,45,59,71,69,1.3,2
WR,Amelia Walton,25,2014,78,78,80,81,69,74,2.3,2
WR,Sinead Tanner,31,2007,58,79,79,90,76,79,2.3,1
OL,Mary Lin,22,2016,78,67,72,81,76,69,1.6,2
OL,Annie Estrada,27,2012,78,54,79,59,78,69,0.8,2
OL,Talia Gould,27,2012,89,76,84,79,85,90,2.2,2
OL,Ana Wood,29,2008,86,90,83,89,78,88,6,1
OL,Aleena Santos,25,2014,69,54,92,75,83,69,0.5,1
OL,Dannelle Potts,24,2014,62,72,94,87,82,72,0.5,3
OL,Terri Bruce,21,2016,105,70,85,91,91,84,4,4
OL,Chick Marks,28,2010,98,87,82,88,84,89,10.6,5
OL,Joanne Wiggins,24,2014,82,75,92,91,85,91,0.7,4
OL,Hanna Graham,27,2012,90,77,93,87,89,87,2,4
K,Nadia Brock,26,2013,76,80,92,96,95,72,0.6,4
K,Layla Rollins,26,2013,77,50,99,75,88,73,0.6,2
S,Erica Matthams,22,2015,90,52,87,64,90,90,1.5,4
S,Margie Osborn,23,2015,79,42,91,72,92,63,0.6,4
CB,Lillian Lucero,20,2016,95,65,85,84,94,70,3.8,4
CB,Samantha Norris,25,2013,63,53,91,73,90,68,0.5,1
CB,Sadie Hall,27,2011,81,59,87,68,93,39,0.7,1
CB,Jane Miller,32,2006,55,91,90,85,91,47,6.8,2
CB,Leah Ortega,29,2010,83,73,96,74,90,49,0.8,1
CB,Caroline Woodard,24,2014,72,52,92,67,54,66,0.5,1
DL,Isie Carver,25,2013,61,50,90,77,91,70,0.6,1
DL,Sabrina Pena,23,2014,82,53,92,66,80,69,0.7,4
DL,Aimee Bowers,22,2016,105,65,85,91,86,81,4.5,4
DL,Rena York,27,2011,84,76,89,77,68,83,5.5,2
DL,Tianna Lynn,31,2008,97,83,86,89,84,78,2.4,1
DL,Summer Buchanan,26,2012,86,64,84,82,82,82,0.7,1
DL,Autumn Dickerson,27,2011,89,92,97,107,109,107,16.7,6
DL,Chloe Rangel,25,2012,82,67,86,92,73,85,0.7,1
LB,Holly Adkins,26,2013,62,62,88,72,68,63,0.6,1
LB,Maryam McCarty,25,2014,62,69,94,76,57,60,0.5,3
LB,Eve Shannon,23,2016,105,65,85,80,85,80,3.9,4
LB,Ruby Chang,32,2007,65,74,88,77,71,76,0.9,1
LB,Constance Moses,30,2009,72,80,83,91,74,78,1.8,1
LB,Velma O'Connor,23,2015,64,56,76,77,62,51,0.5,1
LB,Jenny Hooper,28,2011,79,77,90,88,87,74,5.9,4
LB,Liza Meyer,26,2013,69,66,91,82,62,72,0.5,1
END_PLAYERS
Oakland Robbers,OAK
QB,Donald Wright,32,2005,93,87,88,84,82,40,17,4
QB,Kelly Ho,26,2013,61,71,92,79,72,45,2.6,1
RB,Jimmy Singleton,23,2015,93,63,92,69,91,89,2.7,4
RB,Callum Salas,23,2014,82,65,90,84,82,72,0.7,4
RB,Charley Cochran,27,2011,84,74,82,90,81,69,0.8,1
RB,Luis Snow,24,2015,64,38,90,71,85,78,0.5,2
WR,Jake Allison,26,2012,80,76,94,83,91,86,3.7,4
WR,Maximilian Potter,34,2003,76,97,95,95,76,35,7.4,5
WR,Curtis Soto,29,2010,59,84,85,87,88,91,8.6,5
WR,Ernest Abbott,25,2012,85,78,94,87,89,66,1,1
WR,Chris Henderson,29,2008,81,88,86,92,112,97,6,4
WR,Albert Rose,24,2015,83,57,92,87,87,81,0.7,4
OL,Floyd Moreno,30,2009,82,88,95,85,85,76,7.8,6
OL,Saul Stephenson,28,2010,75,72,74,92,75,77,0.8,1
OL,Alton Orozco,24,2013,81,73,92,83,88,86,16.3,4
OL,Willie Bishop,24,2014,64,50,90,89,78,74,0.6,2
OL,Jarvis Rollins,29,2011,60,70,85,86,78,71,0.7,1
OL,Ioan Middelton,28,2011,60,73,90,80,76,82,2.8,2
OL,Hal Cuevas,25,2014,87,72,85,86,84,72,0.9,4
OL,Bernard Anderson,22,2014,87,68,83,82,85,74,0.8,4
OL,Julian Powell,27,2010,68,73,93,90,77,78,2.9,2
OL,Nathan Byrd,28,2011,60,73,90,80,76,82,2.8,2
K,Edward Thornton,25,2014,62,73,93,95,91,70,0.5,3
K,Roman Ryan,27,2012,85,78,97,95,92,72,1.8,1
S,Jac Holt,33,2006,80,78,94,63,85,87,1.1,1
S,Alfred Jones,23,2014,77,71,92,83,88,86,0.7,4
CB,Claudio Avila,27,2011,81,59,87,68,93,39,0.7,1
CB,Marty Hansen,32,2004,92,74,80,86,87,50,4.3,4
CB,Lorenzo Skinner,29,2010,73,72,84,75,90,55,2.4,1
CB,Dexter Bender,20,2016,95,65,85,84,94,70,3.8,4
CB,Marcel Cummings,30,2008,71,83,97,79,92,50,10,5
CB,Jasper Clements,37,2003,91,91,88,83,85,65,2.5,1
DL,Jeremy Munoz,29,2008,71,77,88,84,82,70,3.7,3
DL,Aron Elliott,26,2013,76,66,91,66,82,68,0.6,4
DL,Julian Wong,25,2012,66,55,90,81,81,66,0.7,2
DL,Leroy Gordon,25,2014,63,65,88,89,77,77,0.5,3
DL,Robin Jefferson,25,2014,82,72,88,84,75,84,0.7,4
DL,Haider Barry,27,2012,80,72,87,76,86,73,5,2
DL,Archie Miles,26,2012,75,75,74,78,83,82,2,2
LB,Terry Horton,27,2010,88,82,87,76,93,85,6.8,4
LB,Wesley Santana,31,2007,80,92,87,88,65,94,5,3
LB,Jimmie Adkins,32,2006,79,92,84,87,77,91,5.5,4
LB,Mohammad Stuart,23,2015,90,67,94,89,81,57,1.3,4
LB,Layton David,28,2014,68,56,85,76,67,70,0.6,4
LB,Owain Dorsey,26,2012,90,77,91,88,69,75,3,3
LB,Milo Humphrey,27,2011,59,80,90,83,62,78,0.8,1
LB,Harvey Page,26,2013,62,60,89,79,60,71,0.6,2
END_PLAYERS
San Diego Sisters,SD
QB,Darcie Ingram,28,2009,97,76,84,99,85,39,17.7,3
QB,Daisy Pierce,30,2009,57,73,86,84,74,40,2,1
RB,Carmen Pham,24,2014,68,45,84,78,84,50,0.5,1
RB,Savannah Prince,26,2013,61,70,88,85,81,62,1.2,1
RB,Amirah Hodges,23,2015,78,52,74,69,87,81,0.6,4
RB,Isabel Parks,24,2013,86,79,94,94,98,105,1,4
WR,Ebony Gentry,25,2012,62,62,91,92,84,55,0.6,2
WR,Patricia Horne,24,2015,73,44,90,74,85,59,0.6,4
WR,Gabriella Barker,26,2013,62,64,92,72,90,84,0.6,2
WR,Hafsa Terrell,26,2012,90,82,96,90,90,85,2.1,4
WR,Ann Mann,28,2010,60,71,92,79,81,74,0.7,2
WR,Eloise Drake,27,2011,61,66,88,81,84,49,4,3
OL,Milly Romero,21,2016,95,71,85,88,90,92,3.1,4
OL,Rose Page,25,2013,76,72,93,83,83,69,1.7,1
OL,Gracie Haynes,30,2009,82,86,80,87,82,80,6.4,4
OL,Deborah Arroyo,27,2012,62,65,87,87,77,79,0.6,1
OL,Mollie Chambers,24,2015,78,64,88,89,73,77,0.7,4
OL,Tiphanie Lam,27,2011,81,74,92,87,85,81,1.5,2
OL,Amie Cardenas,28,2009,77,89,92,86,91,90,5.2,4
OL,Taylor Foster,22,2015,63,50,92,83,88,76,0.5,3
OL,Minnie Duke,24,2015,83,52,73,84,81,72,0.7,4
OL,Julie Durham,24,2014,78,62,90,84,85,73,0.5,1
K,Zara Hamilton,28,2011,60,73,87,86,90,66,0.8,1
K,Mitzi Mejia,26,2012,60,79,94,97,97,75,3,6
S,Hazel Odom,24,2013,91,67,90,82,94,93,2.1,4
S,Jasmine Gallagher,31,2006,64,91,96,85,88,80,5.3,4
CB,Bel Jarvis,27,2010,58,76,93,79,90,52,3.5,4
CB,Cait Garrison,30,2009,77,77,93,74,89,71,5.1,5
CB,Rosalina Harrell,24,2014,65,77,93,91,86,45,0.6,4
CB,Meg Owen,2014,78,51,93,77,89,55,0.5,1
CB,Ayesha Bruce,20,2016,95,65,85,84,94,70,3.8,4
CB,Bree Melton,30,2008,71,83,97,79,92,50,10,5
DL,Kelly Dunn,26,2013,76,66,91,66,82,68,0.6,4
DL,Rhonda McClure,27,2011,79,76,92,89,84,78,6.3,4
DL,Nadia Bowen,28,2011,74,71,84,80,88,73,1.9,2
DL,Sha Neal,29,2009,82,84,86,82,93,75,4.5,4
DL,Sapphire Daniel,25,2014,62,62,82,87,66,75,0.5,3
DL,Aminah Hawkins,22,2015,75,50,76,77,82,69,0.6,4
DL,Imogen McKay,33,2006,69,95,82,90,92,91,7.4,3
DL,Chara Rosario,29,2009,82,79,88,73,64,69,5,4
LB,Harriet McLaughlin,23,2015,83,53,88,80,80,59,0.7,4
LB,Maiju Donnelly,26,2013,71,54,95,76,70,60,0.6,4
LB,Mollie Pratt,25,2015,63,54,91,76,54,56,0.5,3
LB,Rosie Woodard,27,2011,60,71,87,75,81,67,1.8,1
LB,Chick Bridges,28,2011,80,74,86,87,78,74,2.3,2
LB,Irene Page,27,2010,88,82,87,76,93,85,6.8,4
LB,Jessie Dean,27,2011,99,86,93,104,99,97,14.1,1
LB,Emilie Massey,25,2013,61,64,88,79,54,45,0.7,1
END_PLAYERS
#NANOR
Chicago Betting Men,CHI
QB,Jonah Deleon,Ryan Mallett,28,2011,84,63,85,97,79,20,0.8,2
QB,Curtis Shaw,34,2004,82,95,90,104,100,77,21.9,4
RB,Ioan Villanueva,25,2013,77,52,88,64,86,76,0.6,1
RB,Allen Santos,23,2015,78,52,74,69,87,81,0.6,4
RB,Leroy Strickland,29,2010,58,80,87,96,83,62,1,1
RB,Maxim Santiago,26,2013,61,70,88,85,81,62,1.2,1
RB,Khiry Robinson,25,2014,72,70,79,84,84,60,0.6,4
WR,Matt Roberts,22,2014,82,66,91,83,92,63,0.7,4
WR,Tavon Colon,32,2006,80,87,93,74,73,42,4,3
WR,Abernathy Curry,23,2015,88,49,87,85,89,69,1.4,4
WR,Andrew Lewis,27,2011,69,75,88,74,85,79,2.8,3
WR,Brandon Weiss,26,2013,86,68,82,94,84,65,9.4,5
WR,Cleo Pollard,25,2014,63,61,90,72,90,72,0.5,1
OL,Usman Huff,28,2011,79,77,90,88,87,74,5.9,4
OL,Ray Stone,26,2013,63,60,90,83,80,72,0.5,1
OL,Luke Matthams,27,2012,90,77,93,87,89,87,2,4
OL,Zach Donaldson,28,2009,77,89,92,86,91,90,5.2,4
OL,Pgilip Boyer,29,2009,58,86,90,90,87,84,6.7,4
OL,Kendrick Rowland,32,2007,75,86,93,82,92,81,5,3
OL,Jasper Cannon,30,2010,84,77,79,90,79,77,1.7,2
OL,Jim Romero,26,2012,75,68,92,86,70,79,0.9,1
OL,Raphael Boyle,27,2010,98,84,93,92,85,92,13.6,5
OL,Keaton Yang,24,2014,102,75,98,85,80,82,4.1,4
K,Solomon Hooper,29,2009,58,81,90,98,89,77,3.1,4
K,Steve Brewer,30,2009,72,86,95,95,91,76,3.6,6
S,Christian Long,25,2013,65,72,89,80,84,59,2.6,1
S,Zachariah Warner,23,2014,87,60,94,67,61,74,1.9,4
CB,Isaac Beck,27,2012,80,67,95,78,91,42,5,3
CB,Carl Nguyen,26,2014,87,46,93,83,91,61,0.5,1
CB,Glenn Sharp,25,2013,62,49,90,79,89,55,0.6,2
CB,Luis Brown,24,2014,72,52,92,67,54,66,0.5,1
CB,Amir Lloyd,27,2012,80,67,95,78,91,42,5,3
CB,Tomas Boone,32,2006,55,91,90,85,91,47,6.8,2
DL,Timothy Becker,28,2011,89,72,87,90,92,86,3,1
DL,Jeremy Kelly,25,2014,64,53,84,94,74,76,0.5,2
DL,Craig Boyd,28,2011,89,71,87,87,81,81,4.3,2
DL,Marcel Contreras,26,2012,85,74,90,89,77,79,2.5,1
DL,Ben Waters,27,2012,85,73,90,77,80,69,9.5,5
DL,Taylor Ware,35,2003,65,86,91,87,82,75,2.7,3
DL,Caleb Casey,28,2011,60,79,90,88,79,88,4.3,4
DL,Felix Barnett,28,2011,79,69,88,92,81,85,0.8,1
LB,Tobias Hart,30,2009,82,90,88,100,95,98,13.2,5
LB,Fergus Patrick,26,2013,82,68,84,75,61,66,0.6,1
LB,Jak Duncan,26,2013,71,60,87,91,86,77,0.6,4
LB,Marvin Woods,27,2012,65,62,90,71,69,55,0.5,2
LB,Jared Abbott,23,2015,78,57,85,79,64,69,0.6,4
LB,Nathaniel Wilkerson,29,2009,58,76,75,82,72,79,2.8,3
LB,Steven Caldwell,33,2005,83,87,90,73,90,85,10,3
END_PLAYERS
Detroit Lionesses,DET
QB,Cindy Pierce,25,2014,87,70,92,96,80,51,1.3,4
QB,Leah Martinez,24,2014,72,62,82,95,76,39,0.6,4
RB,Emma Petersen,25,2013,86,85,89,97,85,82,0.8,4
RB,Courtney Terrell,31,2007,95,91,87,104,100,102,14,3
RB,Mabel Lyons,27,2011,85,79,87,53,87,84,4.1,3
RB,Addie Estes,24,2014,62,55,95,57,86,83,0.5,3
WR,Grace Hogan,29,2010,65,67,92,77,82,55,0.8,1
WR,Tiffany Marks,26,2014,64,41,91,68,91,64,0.5,2
WR,Lena Walsh,26,2012,80,75,92,75,86,73,6.5,5
WR,Liberty Kidd,25,2014,87,78,90,91,85,65,1.9,4
WR,Anya Peck,27,2010,73,77,79,75,77,35,1.7,3
WR,Marnie Bright,25,2013,101,76,93,77,95,94,3.2,4
OL,Anita Rios,25,2014,87,72,85,86,84,72,0.9,4
OL,Autumn Silva,29,2011,65,74,92,83,79,75,0.7,1
OL,Savannah McMahon,26,2013,101,69,93,86,92,87,11.3,5
